otu_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	color
GH5_1	196.2579876	6.567580728	1.047744035	6.268306485	3.65E-10	1.81E-07	GH	GH1
GH100	55.96350263	9.20958544	1.583762925	5.815002544	6.06E-09	1.50E-06	GH	GH1
GH43_4	188.1953488	-3.509604611	0.640472829	-5.479708823	4.26E-08	7.03E-06	GH	GH1
GT12	196.1288004	5.311048237	1.03916075	5.110901503	3.21E-07	3.97E-05	GT	GT1
GH30_4	405.1605482	-4.993458309	0.994556892	-5.020786996	5.15E-07	5.09E-05	GH	GH1
GH84	682.6083497	-3.342023686	0.675923024	-4.944385038	7.64E-07	6.30E-05	GH	GH1
CBM63	62.56842277	-7.726064336	1.670256762	-4.625674634	3.73E-06	0.000264034	CBM	CBM1
GH13_36	234.8084586	-3.857382188	0.862324532	-4.473237214	7.70E-06	0.000476711	GH	GH1
GH63	1754.180244	1.87917515	0.46852328	4.010846911	6.05E-05	0.003327573	GH	GH1
PL10_2	1881.955791	-1.84659235	0.49489847	-3.731254919	0.000190528	0.009431151	PL	PL1
PL7_1	75.47887447	4.268015156	1.162375137	3.671805273	0.000240843	0.010837942	PL	PL1
GH13_38	17.40093256	7.525490059	2.072160435	3.631712069	0.000281547	0.01161382	GH	GH1
PL22_2	1686.728739	-1.946438821	0.551355339	-3.530280174	0.00041512	0.014677451	PL	PL1
PL26	380.7816763	-1.982915173	0.56004673	-3.540624496	0.000399181	0.014677451	PL	PL1
GH43_26	1268.514954	1.6225021	0.476184567	3.407296695	0.000656098	0.019687218	GH	GH1
GT97	223.4192952	-4.307861626	1.267360655	-3.399081081	0.000676127	0.019687218	GT	GT1
AA1_1	23.01148019	6.030167756	1.76190025	3.422536409	0.000620398	0.019687218	AA	AA1
GH93	1410.432814	1.28460378	0.380773943	3.373665149	0.000741745	0.020397998	GH	GH1
PL4_3	26.37571689	-5.124394342	1.540787908	-3.325827207	0.000881566	0.022967104	PL	PL1
GH89	262.5710143	-1.702553238	0.519417279	-3.277814016	0.001046143	0.025892039	GH	GH1
GH13_19	429.0521664	2.817000313	0.866138905	3.252365524	0.001144487	0.026977202	GH	GH1
GH5_5	419.7314598	1.64175418	0.518306069	3.167538019	0.001537356	0.031707969	GH	GH1
GH43_32	269.9341372	-3.400953632	1.069118027	-3.181083423	0.001467254	0.031707969	GH	GH1
GH43_13	18.40412808	-5.782192335	1.823271763	-3.171327748	0.001517438	0.031707969	GH	GH1
GH37	1866.40637	1.840238175	0.586582316	3.137220686	0.001705577	0.033770424	GH	GH1
GH13_23	2820.973084	1.366137357	0.443438258	3.080783697	0.002064566	0.036498572	GH	GH1
GH13_2	879.8581486	1.930302824	0.625345013	3.086780554	0.002023369	0.036498572	GH	GH1
GT64	30.62377878	4.860240387	1.567632009	3.100370724	0.001932786	0.036498572	GT	GT1
GH5_34	10.3306169	6.768742675	2.209667851	3.063239877	0.002189545	0.037373263	GH	GH1
CBM51	203.0112515	2.341564311	0.782414134	2.992742857	0.002764826	0.045619628	CBM	CBM1
GH35	2636.647536	-1.350025407	0.454885684	-2.967834458	0.002999058	0.047888185	GH	GH1
GT92	304.587836	1.714616816	0.58327418	2.939641211	0.003285925	0.050829153	GT	GT0
GH30_1	153.7164696	3.850835568	1.31567398	2.92689194	0.003423678	0.051355172	GH	GH0
GH13_32	332.7916375	-2.847225516	0.985763852	-2.888344415	0.003872756	0.056382766	GH	GH0
GH140	3418.210186	-1.121073785	0.394841428	-2.839301313	0.004521244	0.057452849	GH	GH0
PL1_2	1180.025905	1.628177017	0.573518979	2.838924392	0.004526588	0.057452849	PL	PL0
GH129	408.08693	2.164455745	0.754447817	2.868927044	0.004118668	0.057452849	GH	GH0
PL7_2	91.18972919	2.725335801	0.953089309	2.859475784	0.004243418	0.057452849	PL	PL0
CBM37	62.75131462	-4.4817553	1.578475738	-2.839293118	0.00452136	0.057452849	CBM	CBM0
PL13	17.30024788	5.63156788	1.999627722	2.816308164	0.004857905	0.060116568	PL	PL0
GH115	1431.105116	1.509451699	0.54723306	2.75833426	0.005809676	0.067064946	GH	GH0
GH43_30	486.9730348	-1.855015812	0.674050434	-2.752043047	0.005922474	0.067064946	GH	GH0
GH5_46	358.2253253	2.051462254	0.74601315	2.749900929	0.005961329	0.067064946	GH	GH0
GH75	200.35241	-3.308454703	1.193839765	-2.771271991	0.005583776	0.067064946	GH	GH0
PL5_1	148.3198009	2.613108196	0.969045345	2.696579895	0.007005559	0.077061149	PL	PL0
GH74	864.9475057	1.504393248	0.559647705	2.6881076	0.007185824	0.077256868	GH	GH0
PL3_2	14.06724919	-3.743015834	1.396013942	-2.681216657	0.007335501	0.077256868	PL	PL0
CBM16	320.7197453	1.917935461	0.718668863	2.668733208	0.00761379	0.078517211	CBM	CBM0
GH5_26	26.43922887	4.1863127	1.574549386	2.658736993	0.007843417	0.079234514	GH	GH0
GT53	503.0397381	1.44463826	0.548645209	2.633101022	0.008460918	0.0835805	GT	GT0
GH5_25	24.89143106	4.100740222	1.560931473	2.627110986	0.008611324	0.0835805	GH	GH0
CBM47	8.118210838	6.426488176	2.452512745	2.620368921	0.008783469	0.083611868	CBM	CBM0
PL9_1	2076.520985	-1.202147186	0.4607576	-2.609066428	0.009078962	0.084794075	PL	PL0
GH43_28	536.8686628	1.653807431	0.642223772	2.575126463	0.010020344	0.091853155	GH	GH0
PL10	1910.943578	-1.237607129	0.486031429	-2.546352058	0.010885534	0.094532271	PL	PL0
GH104	909.6013476	-1.916971575	0.752720449	-2.546724453	0.010873926	0.094532271	GH	GH0
GH5_39	111.6811766	1.911684532	0.747414052	2.557731592	0.010535738	0.094532271	GH	GH0
GH5_13	893.6015409	1.765259045	0.698074564	2.528754284	0.011446813	0.096582491	GH	GH0
GH43_2	165.2767789	-2.541025039	1.005643622	-2.526764934	0.011511853	0.096582491	GH	GH0
PL1	1010.821398	-1.368643771	0.543524129	-2.51809202	0.011799249	0.097343804	PL	PL0
GH43_23	23.58284766	2.734494148	1.089449015	2.509978999	0.012073834	0.097976195	GH	GH0
GT85	87.23123163	1.893712413	0.768402338	2.464480284	0.013721211	0.107809517	GT	GT0
GH13_28	7.129491714	-6.318057304	2.560132411	-2.467863489	0.013592214	0.107809517	GH	GH0
PL22_1	1252.121354	-1.143851486	0.469899378	-2.434247714	0.014922779	0.115418366	PL	PL0
GH13	2542.834749	1.197801038	0.495949347	2.415168094	0.015727949	0.119774384	GH	GH0
GH144	3513.236495	1.127441741	0.472126922	2.388005617	0.016940083	0.127050622	GH	GH0
GT17	289.6052725	1.465595919	0.618187739	2.370794222	0.01774991	0.129208906	GT	GT0
GH13_14	11.49015143	-5.081941335	2.139644166	-2.375133873	0.017542586	0.129208906	GH	GH0
AA5_2	38.59659208	2.608831883	1.107162313	2.356322873	0.018456868	0.132407963	AA	AA0
GH13_6	27.59443422	4.241416192	1.839553974	2.305676404	0.021128721	0.149410238	GH	GH0
GH53	671.8904929	-1.002697419	0.441421919	-2.271517059	0.023115695	0.158920407	GH	GH0
GH43_29	631.502874	1.64283955	0.721788349	2.276068258	0.022841925	0.158920407	GH	GH0
GH13_13	707.9763142	-1.386702359	0.613604529	-2.259928492	0.023825689	0.161557756	GH	GH0
CBM20	83.07639154	1.771410059	0.792281283	2.235834794	0.025362595	0.168687026	CBM	CBM0
CBM57	42.70274019	2.369542277	1.061217323	2.232852994	0.02555864	0.168687026	CBM	CBM0
GT15	85.28120017	-2.003393463	0.903806785	-2.216616977	0.026649276	0.173570945	GT	GT0
PL1_4	18.32350899	-3.570632347	1.651597359	-2.161926651	0.03062383	0.196867481	PL	PL0
GH16	4047.496624	0.872023813	0.406666173	2.144323455	0.032006979	0.198021113	GH	GH0
GH116	625.413919	-1.36063481	0.634238282	-2.145305399	0.031928437	0.198021113	GH	GH0
GH12	182.9808499	2.106489677	0.984617987	2.139397924	0.032403455	0.198021113	GH	GH0
GT54	7.661034592	-6.421233515	2.987098874	-2.149655497	0.031582475	0.198021113	GT	GT0
GH13_3	2180.457833	-0.985900727	0.467674903	-2.108089876	0.035023216	0.211420633	GH	GH0
CBM59	5.158719446	-5.850895845	2.782873334	-2.10246574	0.035512498	0.211791402	CBM	CBM0
GH43_21	174.7977602	-1.210702287	0.57757194	-2.09619305	0.036065069	0.212526301	GH	GH0
CE5	510.1315514	1.208937468	0.584988117	2.066601754	0.038771695	0.224425918	CE	CE0
GH66	197.208377	1.971043843	0.954833539	2.064280069	0.03899117	0.224425918	GH	GH0
GH101	780.5704079	-1.653054865	0.809436447	-2.042229344	0.041128787	0.226815724	GH	GH0
GH13_4	78.74205534	1.647494932	0.808972678	2.036527284	0.041697436	0.226815724	GH	GH0
AA11	48.79827319	-2.188826661	1.071382476	-2.042992778	0.041053153	0.226815724	AA	AA0
PL1_11	14.41780343	3.262464998	1.595928153	2.044243027	0.040929544	0.226815724	PL	PL0
PL2	11.99475849	4.040554942	1.981662295	2.038972509	0.041452771	0.226815724	PL	PL0
GH58	7.040824458	6.215163024	3.070274932	2.024301784	0.04293911	0.231031082	GH	GH0
GT8	2473.847611	0.890251951	0.441584745	2.016038736	0.043795925	0.233107345	GT	GT0
GH105	3424.57006	1.025441165	0.511237299	2.005802721	0.0448773	0.236321953	GH	GH0
PL5	683.4922183	1.345382168	0.676780156	1.9879161	0.04682097	0.243961895	PL	PL0
GT90	313.8674362	1.319118116	0.670356841	1.96778497	0.049092784	0.253134669	GT	GT0
GH73	2566.789921	0.936914942	0.479967164	1.952039665	0.050933496	0.257266126	GH	GH0
GH13_7	97.63973554	2.824892304	1.445693018	1.954005636	0.050700551	0.257266126	GH	GH0
GT39	1785.884112	-0.964763514	0.496819155	-1.941880669	0.052151548	0.26075774	GT	GT0
GT48	38.34155576	-2.248910272	1.164809728	-1.930710414	0.053518874	0.264918428	GT	GT0
GH108	1369.612759	-0.943039142	0.49488434	-1.905574828	0.056705391	0.277912557	GH	GH0
GH99	1116.504252	1.14422633	0.607339511	1.883997844	0.059565267	0.289066737	GH	GH0
GH13_30	3085.722408	-1.032504623	0.550252177	-1.876420789	0.060597522	0.291221102	GH	GH0
GT84	229.6087178	1.063805091	0.575976514	1.846959148	0.064753061	0.308199667	GT	GT0
GH30	804.3680099	0.892746368	0.486410985	1.835374603	0.066450204	0.313265248	GH	GH0
AA3_2	8665.545093	0.670554565	0.367128203	1.826486112	0.067777071	0.316506135	AA	AA0
GH5_23	7.532303952	-3.51557435	1.942346789	-1.809962243	0.070301643	0.325227225	GH	GH0
GH107	3.930887966	5.378451768	2.989332844	1.799214757	0.071984716	0.329929948	GH	GH0
GH13_10	5664.196277	0.754755339	0.422393501	1.786853579	0.073961157	0.332825207	GH	GH0
CBM69	5.606172762	5.886125686	3.293207166	1.787353601	0.073880356	0.332825207	CBM	CBM0
GT76	1152.516517	-0.94996739	0.533831784	-1.779525721	0.075153612	0.335144486	GT	GT0
GH78	11539.77132	-0.858455896	0.483570204	-1.775245639	0.075857337	0.335262338	GH	GH0
GH43_37	27.46207062	3.141689572	1.781842375	1.763169187	0.077871959	0.341120528	GH	GH0
GH43_22	368.5112846	-1.045122197	0.595807751	-1.754126555	0.079408824	0.342084795	GH	GH0
GT57	51.24932377	-1.711876995	0.976126626	-1.753744801	0.079474245	0.342084795	GT	GT0
AA2	4681.662425	1.028113909	0.595640565	1.726064289	0.084335848	0.356805509	AA	AA0
GH43_24	875.8969442	-1.178352017	0.682258911	-1.727133202	0.084143744	0.356805509	GH	GH0
GT7	68.92868809	1.506451956	0.880481718	1.710940642	0.087092071	0.363632362	GT	GT0
GH5_9	31.51925262	-1.832880189	1.072377646	-1.709174186	0.087418689	0.363632362	GH	GH0
GH139	403.6173075	1.25340967	0.737137299	1.700374777	0.089060453	0.367374369	GH	GH0
GH94	8290.804977	0.793117779	0.468808588	1.691773144	0.090689236	0.37100142	GH	GH0
GH5_18	734.2717271	-0.978185735	0.585066972	-1.671920963	0.094539908	0.371406783	GH	GH0
GH62	80.46176543	1.491887349	0.891815342	1.67286576	0.094353726	0.371406783	GH	GH0
PL17_2	56.91884327	1.848727876	1.099062224	1.682095732	0.092550278	0.371406783	PL	PL0
GH43_7	17.01162466	3.931050556	2.332198835	1.685555492	0.091881448	0.371406783	GH	GH0
PL1_8	9.297497475	-3.497981158	2.085063369	-1.677637817	0.093417826	0.371406783	PL	PL0
GH138	687.267503	1.045509784	0.628253074	1.66415387	0.096081684	0.374491603	GH	GH0
GH5_28	52.84679547	-1.836742599	1.108116014	-1.657536373	0.097411081	0.376706917	GH	GH0
PL12_3	475.2185518	0.879945678	0.543042921	1.620398027	0.105146803	0.391335848	PL	PL0
GH11	156.733308	-1.219878421	0.750572491	-1.625263964	0.104106326	0.391335848	GH	GH0
GH112	12.26899297	3.482356052	2.145254225	1.623283623	0.104528789	0.391335848	GH	GH0
PL12_2	6.303699453	-6.139865866	3.771938179	-1.627774787	0.103572649	0.391335848	PL	PL0
