otu_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	color
AA9	254.0776057	-2.954640617	0.369178734	-8.003279571	1.21E-15	6.09E-13	AA	AA1
GT15	81.76340185	-2.888937932	0.489365714	-5.903433465	3.56E-09	8.95E-07	GT	GT1
GT69	39.5374684	-6.875273879	1.230736649	-5.586307912	2.32E-08	3.89E-06	GT	GT1
PL4_3	38.5774139	-4.784615718	0.887315498	-5.392237291	6.96E-08	8.75E-06	PL	PL1
PL1_4	19.97153917	-7.738734149	1.508782464	-5.129125194	2.91E-07	2.93E-05	PL	PL1
GH47	507.713696	-1.274984938	0.250421469	-5.091356364	3.56E-07	2.97E-05	GH	GH1
GH50	343.9452217	1.543164947	0.306337571	5.037465501	4.72E-07	2.97E-05	GH	GH1
GT48	39.73359766	-4.759551673	0.941513261	-5.055214697	4.30E-07	2.97E-05	GT	GT1
GH126	50.91441124	-4.643814949	0.935700998	-4.962926148	6.94E-07	3.88E-05	GH	GH1
GH43_13	28.8001681	-6.420354618	1.34065564	-4.788966255	1.68E-06	8.43E-05	GH	GH1
GH13_29	84.42802401	-2.478540727	0.529088129	-4.684551761	2.81E-06	0.000123701	GH	GH1
GH5_9	28.8407118	-4.390256408	0.939254292	-4.674193607	2.95E-06	0.000123701	GH	GH1
GH132	30.1955427	-3.560202412	0.797730269	-4.462915037	8.09E-06	0.000312836	GH	GH1
GH5_36	121.0898886	1.823075236	0.414478684	4.398477675	1.09E-05	0.00038461	GH	GH1
GH72	74.71380736	-2.415609903	0.550574431	-4.387435677	1.15E-05	0.00038461	GH	GH1
GH5_23	12.43820125	-7.055496177	1.635083217	-4.315068556	1.60E-05	0.000501596	GH	GH1
PL3_2	19.5164007	-5.776057114	1.349561156	-4.279952109	1.87E-05	0.000553103	PL	PL1
GH7	96.23121314	-2.242295576	0.534144649	-4.197918258	2.69E-05	0.000752767	GH	GH1
GH5_24	20.7563744	-4.865030594	1.175408511	-4.139012563	3.49E-05	0.000923412	GH	GH1
PL8	292.4378405	1.202130119	0.295049579	4.074332606	4.61E-05	0.001141135	PL	PL1
GT31	26.50056291	-3.12515207	0.768435143	-4.066904147	4.76E-05	0.001141135	GT	GT1
GT54	11.32716745	-6.919842347	1.776123947	-3.896035724	9.78E-05	0.002235606	GT	GT1
GH68	331.6066914	-1.359176351	0.353199221	-3.848186149	0.000118996	0.002602382	GH	GH1
GH13_40	117.0716171	-1.852397739	0.492687133	-3.759785098	0.000170059	0.003564161	GH	GH1
GT53	2670.534726	1.29529302	0.355852539	3.639971276	0.000272668	0.00539177	GT	GT1
GH43_5	278.0710951	-0.968791472	0.266566453	-3.634333806	0.0002787	0.00539177	GH	GH1
AA11	64.51133994	-2.132900653	0.589869291	-3.615886916	0.000299321	0.00557624	AA	AA1
GH43_14	60.85879362	-2.125465428	0.595680469	-3.568130128	0.000359538	0.006458842	GH	GH1
GH63	3655.434351	0.745530144	0.212882675	3.502070528	0.000461657	0.008007368	GH	GH1
GH24	615.8225993	0.716690733	0.205313269	3.490718044	0.000481724	0.008076912	GH	GH1
GH43_26	848.2545363	-0.83915465	0.2457407	-3.414797183	0.000638295	0.010356854	GH	GH1
GH13_21	930.3384943	0.806928807	0.237619332	3.395888714	0.000684062	0.010752594	GH	GH1
GT87	2303.939441	0.8748807	0.26287644	3.328106166	0.000874385	0.013327753	GT	GT1
GH5_34	43.38670781	3.510840571	1.070903484	3.278391212	0.001044006	0.015445147	GH	GH1
GT1	8024.258865	0.671095133	0.209078143	3.209781399	0.00132836	0.019090424	GT	GT1
GH28	1825.67417	-0.655378896	0.207275666	-3.161870896	0.00156759	0.021473885	GH	GH1
GH13_18	720.8205237	0.675193393	0.213692492	3.159649584	0.00157959	0.021473885	GH	GH1
GT27	2949.03889	0.570586883	0.181481494	3.144049962	0.00166627	0.022056151	GT	GT1
GT85	560.1105652	1.329115713	0.424879955	3.128214683	0.001758717	0.022176691	GT	GT1
GT17	65.7665734	1.521348506	0.486456779	3.127407352	0.001763554	0.022176691	GT	GT1
GH13_26	3137.898023	0.537968997	0.172432705	3.119877959	0.00180926	0.022196529	GH	GH1
AA3_4	849.4627321	0.817300075	0.263830245	3.097825548	0.001949461	0.023347122	AA	AA1
GH5_22	495.2129219	1.088802953	0.354707617	3.069578716	0.002143609	0.024296308	GH	GH1
GH5_18	275.8936521	1.441189874	0.469036828	3.072658241	0.002121613	0.024296308	GH	GH1
AA13	23.00878666	-2.956193227	0.964367258	-3.06542264	0.002173626	0.024296308	AA	AA1
GT25	889.502833	0.563743336	0.184749927	3.051385975	0.002277875	0.024617796	GT	GT1
GH13_42	138.4599268	-1.633559635	0.535866091	-3.048447479	0.002300271	0.024617796	GH	GH1
