otu_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	color
CE1	79172.76542	0.112153006	0.451720961	0.248279393	0.803918242	0.858049419	CE	CE0
GT4	71770.35933	-0.265303607	0.454414047	-0.58383672	0.559330171	0.654473963	GT	GT0
GH1	66617.91594	-1.14587058	0.46118401	-2.484627729	0.012968697	0.033288293	GH	GH1
GT2	64483.66849	0.071943764	0.426381466	0.168730984	0.866008246	0.899697354	GT	GT0
CE10	36562.37954	-0.280841193	0.409211089	-0.686299078	0.49252453	0.589989806	CE	CE0
AA3	35149.07225	0.316794588	0.439193012	0.721310629	0.470718419	0.576027391	AA	AA0
GH109	32509.74847	-0.821737755	0.445960743	-1.842623523	0.065383997	0.123202786	GH	GH0
GT41	31940.98674	0.102990251	0.46139713	0.223213896	0.823369037	0.873386782	GT	GT0
GH2	20744.97265	1.347230786	0.546086149	2.467066393	0.01362251	0.03433206	GH	GH1
GT9	20299.59958	5.070943048	0.530671378	9.555712367	1.23E-21	5.07E-20	GT	GT1
GH23	20060.11472	2.554089803	0.488158742	5.232088624	1.68E-07	1.12E-06	GH	GH1
GH32	16557.31042	-0.126742597	0.469029521	-0.270223069	0.786988646	0.844663937	GH	GH0
GT28	16328.41225	-1.355795888	0.45136281	-3.003782895	0.002666455	0.008126556	GT	GT1
GH31	15640.16181	0.431135674	0.499197269	0.863657917	0.387775838	0.4931379	GH	GH0
GT35	15231.10791	2.839051596	0.489601391	5.79870002	6.68E-09	5.14E-08	GT	GT1
CE4	13929.97996	-0.986561264	0.400168767	-2.465362983	0.013687451	0.03433206	CE	CE1
GT83	12802.25201	0.266160344	0.422487717	0.629983626	0.528705297	0.62671594	GT	GT0
GH77	12649.38593	4.514052716	0.495130022	9.116903664	7.73E-20	2.19E-18	GH	GH1
CE9	11811.99615	-0.467416582	0.425351723	-1.098894297	0.271814174	0.38563636	CE	CE0
GH4	11610.21063	-2.329109453	0.383505361	-6.073212248	1.25E-09	1.05E-08	GH	GH1
GH73	10965.84014	-1.07973412	0.453959294	-2.378482243	0.017384074	0.042205185	GH	GH1
GH94	10746.52083	2.592365061	0.533714903	4.857209434	1.19E-06	7.21E-06	GH	GH1
GT19	10409.69053	-0.382909446	0.439699967	-0.870842563	0.383840122	0.49088286	GT	GT0
GH13_31	10198.9719	-2.859680113	0.430133072	-6.648361404	2.96E-11	3.13E-10	GH	GH1
GH13_11	9640.774717	2.991596784	0.434765147	6.880948959	5.95E-12	6.92E-11	GH	GH1
GH3	9630.240557	0.653470444	0.440138754	1.484691903	0.137625458	0.222355721	GH	GH0
AA1	9340.130178	1.866324805	0.42294955	4.412641663	1.02E-05	5.21E-05	AA	AA1
GH13_29	9298.417494	-1.545399711	0.413691606	-3.735632265	0.000187244	0.00071436	GH	GH1
GH101	9088.207049	-3.466687022	0.514810557	-6.733908182	1.65E-11	1.87E-10	GH	GH1
GT51	9077.943409	0.405933883	0.440641	0.921234935	0.356927783	0.464312932	GT	GT0
GH28	9044.622235	-0.577800683	0.500623273	-1.154162649	0.248433492	0.355800648	GH	GH0
GH20	8988.236643	1.995494475	0.577071843	3.457965416	0.000544271	0.001900763	GH	GH1
AA6	8583.417958	-0.557720995	0.461946646	-1.20732773	0.227305956	0.330466511	AA	AA0
CE3	8444.114386	-0.735546488	0.39610154	-1.856964477	0.063316208	0.121289276	CE	CE0
GT26	8203.483017	-0.046486217	0.484574976	-0.095931939	0.923574628	0.93623743	GT	GT0
GH13_9	8132.576606	2.024110817	0.511267543	3.959005117	7.53E-05	0.000325421	GH	GH1
AA4	8074.34877	-2.161879877	0.393840753	-5.489223397	4.04E-08	2.91E-07	AA	AA1
GH42	7505.087851	0.867728891	0.473507466	1.83255588	0.066868645	0.124659642	GH	GH0
GH35	7140.99744	-2.837672462	0.431982749	-6.568948577	5.07E-11	5.00E-10	GH	GH1
GH15	7134.427925	3.360503849	0.42002854	8.000655978	1.24E-15	1.94E-14	GH	GH1
CE14	6961.653311	-1.838432711	0.410626418	-4.477141823	7.56E-06	3.95E-05	CE	CE1
GH13	6949.64385	-1.243009992	0.528037611	-2.354017907	0.018571716	0.04484588	GH	GH1
GT5	6899.337502	0.614662485	0.502906297	1.222220696	0.221624179	0.325622581	GT	GT0
CE7	6595.754572	0.088560235	0.428019099	0.206907204	0.83608233	0.880699253	CE	CE0
GT20	5881.30739	2.380341251	0.448370518	5.308871022	1.10E-07	7.47E-07	GT	GT1
GH25	5806.840218	-2.794703604	0.436649949	-6.400329619	1.55E-10	1.41E-09	GH	GH1
GT30	5707.46716	3.51074598	0.485281464	7.23445308	4.67E-13	5.89E-12	GT	GT1
GH8	5686.621108	4.578767261	0.517500114	8.847857497	8.92E-19	2.03E-17	GH	GH1
GT8	5445.445514	2.200694013	0.476084936	4.622481929	3.79E-06	2.18E-05	GT	GT1
AA7	5403.70718	-0.435876664	0.441584026	-0.987075253	0.323605748	0.43466571	AA	AA0
GH24	5161.873631	4.411585288	0.503140461	8.768098828	1.82E-18	3.59E-17	GH	GH1
GT1	4731.976592	1.393647631	0.529984652	2.62959998	0.008548539	0.023239741	GT	GT1
GH43_26	4651.311182	2.558075095	0.530805359	4.819233739	1.44E-06	8.61E-06	GH	GH1
GH13_26	4468.084125	3.150772158	0.474469569	6.640620107	3.12E-11	3.22E-10	GH	GH1
GH65	4128.844301	-1.615533284	0.480724908	-3.360619052	0.00077768	0.002634827	GH	GH1
GT56	4021.588311	5.57496531	0.682265841	8.171250813	3.05E-16	4.95E-15	GT	GT1
GH13_10	4018.582514	2.943773073	0.456507747	6.448462473	1.13E-10	1.05E-09	GH	GH1
GH13_5	3967.612687	1.970379374	0.554048372	3.556330952	0.00037607	0.001344377	GH	GH1
GH105	3916.112598	1.552328565	0.460748695	3.369143708	0.000754021	0.002573876	GH	GH1
GH103	3780.483284	1.557597338	0.371537299	4.192304085	2.76E-05	0.000129243	GH	GH1
GH37	3768.144552	4.320444806	0.565464994	7.640516831	2.16E-14	3.07E-13	GH	GH1
AA3_2	3529.79689	1.638910759	0.451415606	3.630602788	0.00028276	0.001035267	AA	AA1
GT81	3389.925882	3.08017516	0.557177444	5.528176336	3.24E-08	2.37E-07	GT	GT1
AA2	3273.494649	2.773787506	0.461589036	6.009214446	1.86E-09	1.46E-08	AA	AA1
